Id,GEOID,Geography,County,State,Total; Estimate; Population for whom poverty status is determined,Below poverty level; Estimate; Population for whom poverty status is determined,poverty_percent
1400000US48201540700,48201540700,Census Tract 5407, Harris County, Texas,7582,1408,0.185702981
1400000US48201540800,48201540800,Census Tract 5408, Harris County, Texas,8431,993,0.117779623
1400000US48201540901,48201540901,Census Tract 5409.01, Harris County, Texas,2554,222,0.086922475
1400000US48201540902,48201540902,Census Tract 5409.02, Harris County, Texas,7529,848,0.11263116
1400000US48201541001,48201541001,Census Tract 5410.01, Harris County, Texas,9933,794,0.079935568
1400000US48201541002,48201541002,Census Tract 5410.02, Harris County, Texas,8433,419,0.049685758
1400000US48201541003,48201541003,Census Tract 5410.03, Harris County, Texas,13674,928,0.067866023
1400000US48201541100,48201541100,Census Tract 5411, Harris County, Texas,6808,650,0.095475911
1400000US48201541201,48201541201,Census Tract 5412.01, Harris County, Texas,8251,224,0.027148224
1400000US48201541202,48201541202,Census Tract 5412.02, Harris County, Texas,9291,1334,0.143579808
1400000US48201541203,48201541203,Census Tract 5412.03, Harris County, Texas,2684,22,0.008196721
1400000US48201541300,48201541300,Census Tract 5413, Harris County, Texas,12432,2442,0.196428571
1400000US48201541400,48201541400,Census Tract 5414, Harris County, Texas,14361,1932,0.134531022
1400000US48201541500,48201541500,Census Tract 5415, Harris County, Texas,5668,535,0.094389555
1400000US48201541601,48201541601,Census Tract 5416.01, Harris County, Texas,4749,364,0.076647715
1400000US48201541602,48201541602,Census Tract 5416.02, Harris County, Texas,10651,1888,0.177260351
1400000US48201541700,48201541700,Census Tract 5417, Harris County, Texas,11015,1491,0.135360872
1400000US48201541800,48201541800,Census Tract 5418, Harris County, Texas,5201,950,0.182657181
1400000US48201541900,48201541900,Census Tract 5419, Harris County, Texas,6578,767,0.116600791
1400000US48201542000,48201542000,Census Tract 5420, Harris County, Texas,14618,1064,0.072786975
1400000US48201542101,48201542101,Census Tract 5421.01, Harris County, Texas,17090,3318,0.194148625
1400000US48201542102,48201542102,Census Tract 5421.02, Harris County, Texas,14117,2142,0.151731954
1400000US48201542200,48201542200,Census Tract 5422, Harris County, Texas,17044,1708,0.100211218
1400000US48201542301,48201542301,Census Tract 5423.01, Harris County, Texas,13469,1675,0.124359641
1400000US48201542302,48201542302,Census Tract 5423.02, Harris County, Texas,6878,224,0.032567607
1400000US48201542400,48201542400,Census Tract 5424, Harris County, Texas,9737,1565,0.160727123
1400000US48201542500,48201542500,Census Tract 5425, Harris County, Texas,2378,141,0.059293524
1400000US48201542600,48201542600,Census Tract 5426, Harris County, Texas,4283,211,0.049264534
1400000US48201542700,48201542700,Census Tract 5427, Harris County, Texas,4406,755,0.17135724
1400000US48201542800,48201542800,Census Tract 5428, Harris County, Texas,7095,760,0.107117689
1400000US48201542900,48201542900,Census Tract 5429, Harris County, Texas,11738,1141,0.097205657
1400000US48201543001,48201543001,Census Tract 5430.01, Harris County, Texas,9132,422,0.046211126
1400000US48201543002,48201543002,Census Tract 5430.02, Harris County, Texas,11365,582,0.051209855
1400000US48201543003,48201543003,Census Tract 5430.03, Harris County, Texas,17046,2042,0.1197935
1400000US48201543100,48201543100,Census Tract 5431, Harris County, Texas,2520,624,0.247619048
1400000US48201543200,48201543200,Census Tract 5432, Harris County, Texas,5564,848,0.152408339
1400000US48201550100,48201550100,Census Tract 5501, Harris County, Texas,4857,2255,0.464278361
1400000US48201550200,48201550200,Census Tract 5502, Harris County, Texas,3994,1808,0.452679019
1400000US48201550301,48201550301,Census Tract 5503.01, Harris County, Texas,7673,1818,0.236934706
1400000US48201550302,48201550302,Census Tract 5503.02, Harris County, Texas,9140,2763,0.302297593
1400000US48201550401,48201550401,Census Tract 5504.01, Harris County, Texas,11079,3461,0.312392815
1400000US48201550402,48201550402,Census Tract 5504.02, Harris County, Texas,9955,1841,0.184932195
1400000US48201550500,48201550500,Census Tract 5505, Harris County, Texas,5152,1042,0.202251553
1400000US48201550601,48201550601,Census Tract 5506.01, Harris County, Texas,7341,1662,0.226399673
1400000US48201550602,48201550602,Census Tract 5506.02, Harris County, Texas,3142,717,0.2281986
