GEOID,Geography,County,State,Total; Estimate; Population for whom poverty status is determined,Below poverty level; Estimate; Population for whom poverty status is determined,poverty_percent
48453002409,Census Tract 24.09, Travis County, Texas,3261,621,0.190432383
48453002410,Census Tract 24.10, Travis County, Texas,3805,1068,0.280683311
48453002411,Census Tract 24.11, Travis County, Texas,6118,2257,0.368911409
48453002412,Census Tract 24.12, Travis County, Texas,5813,1404,0.241527611
48453002413,Census Tract 24.13, Travis County, Texas,5062,2262,0.446858949
48453002419,Census Tract 24.19, Travis County, Texas,4289,1387,0.323385405
48453002421,Census Tract 24.21, Travis County, Texas,7456,856,0.114806867
48453002422,Census Tract 24.22, Travis County, Texas,5506,1176,0.21358518
48453002423,Census Tract 24.23, Travis County, Texas,5601,662,0.11819318
48453002424,Census Tract 24.24, Travis County, Texas,3520,695,0.197443182
48453002425,Census Tract 24.25, Travis County, Texas,2949,66,0.022380468
48453002426,Census Tract 24.26, Travis County, Texas,7790,964,0.123748395
48453002427,Census Tract 24.27, Travis County, Texas,8129,2506,0.308279001
48453002428,Census Tract 24.28, Travis County, Texas,6248,899,0.143886044
48453002429,Census Tract 24.29, Travis County, Texas,761,125,0.164257556
48453002430,Census Tract 24.30, Travis County, Texas,3480,343,0.098563218
48453002431,Census Tract 24.31, Travis County, Texas,7309,1196,0.163633876
48453002432,Census Tract 24.32, Travis County, Texas,1965,542,0.275826972
48453002433,Census Tract 24.33, Travis County, Texas,6250,991,0.15856
48453002434,Census Tract 24.34, Travis County, Texas,1906,285,0.149527807
48453002435,Census Tract 24.35, Travis County, Texas,6844,1491,0.217855056
48453002436,Census Tract 24.36, Travis County, Texas,2287,534,0.23349366
48453002500,Census Tract 25, Travis County, Texas,5402,503,0.093113662
48453980000,Census Tract 9800, Travis County, Texas,0,0,#DIV/0!
