GEOID,county,percent_poverty
48085030100,Collin County,0.081909062
48085030201,Collin County,0.011574074
48085030202,Collin County,0.097210113
48085030203,Collin County,0.12549118
48085030301,Collin County,0.053909953
48085030302,Collin County,0
48085030303,Collin County,0.016351847
48085030304,Collin County,0.101733233
48085030305,Collin County,0.053704691
48085030403,Collin County,0.069920589
48085030404,Collin County,0.05694076
48085030405,Collin County,0.06716792
48085030406,Collin County,0.189434585
48085030407,Collin County,0.006883605
48085030408,Collin County,0.142716858
48085030504,Collin County,0.056190041
48085030505,Collin County,0.02326969
48085030506,Collin County,0
48085030507,Collin County,0.026949541
48085030508,Collin County,0.008672758
48085030509,Collin County,0.018391788
48085030510,Collin County,0.011746874
48085030511,Collin County,0.004901961
48085030512,Collin County,0.030633084
48085030513,Collin County,0.123067409
48085030514,Collin County,0.037530266
48085030515,Collin County,0.038328672
48085030516,Collin County,0.068486812
48085030517,Collin County,0.011279826
48085030518,Collin County,0
48085030519,Collin County,0
48085030520,Collin County,0.045314427
48085030521,Collin County,0
48085030522,Collin County,0.045754509
48085030523,Collin County,0.107494915
48085030524,Collin County,0.028140704
48085030525,Collin County,0.02969807
48085030526,Collin County,0.072987603
48085030527,Collin County,0.076256983
48085030528,Collin County,0.03688108
48085030529,Collin County,0.048732943
48085030530,Collin County,0.02698119
48085030531,Collin County,0.038491752
48085030601,Collin County,0.016597015
48085030603,Collin County,0.084146514
48085030604,Collin County,0.099140111
48085030605,Collin County,0.028788702
48085030701,Collin County,0.373045654
48085030702,Collin County,0.276188331
48085030801,Collin County,0.173430657
48085030802,Collin County,0.271418539
48085030900,Collin County,0.331522367
48085031001,Collin County,0.077228014
48085031003,Collin County,0.082753287
48085031004,Collin County,0.082350871
48085031100,Collin County,0.139965172
48085031201,Collin County,0.028848609
48085031202,Collin County,0.038450975
48085031308,Collin County,0.047094999
48085031309,Collin County,0.025721237
48085031310,Collin County,0.048079189
48085031311,Collin County,0.029991325
48085031312,Collin County,0.03902834
48085031313,Collin County,0.030300248
48085031314,Collin County,0
48085031315,Collin County,0.063018948
48085031316,Collin County,0.060615432
48085031317,Collin County,0.033367784
48085031405,Collin County,0.022651424
48085031406,Collin County,0.025303436
48085031407,Collin County,0.035587189
48085031408,Collin County,0.027786354
48085031409,Collin County,0.016139044
48085031410,Collin County,0.046131839
48085031411,Collin County,0
48085031504,Collin County,0.050595238
48085031505,Collin County,0.029379612
48085031506,Collin County,0.075999489
48085031507,Collin County,0.079316993
48085031508,Collin County,0.05404878
48085031611,Collin County,0.138669673
48085031612,Collin County,0.01968
48085031613,Collin County,0.048244824
48085031621,Collin County,0.06286455
48085031622,Collin County,0.021219652
48085031623,Collin County,0.098926131
48085031624,Collin County,0.298590722
48085031625,Collin County,0.039572712
48085031626,Collin County,0.017558528
48085031627,Collin County,0.041075588
48085031628,Collin County,0.059293632
48085031629,Collin County,0.087719298
48085031630,Collin County,0.030114943
48085031631,Collin County,0.093339274
48085031632,Collin County,0.073434918
48085031633,Collin County,0.017073171
48085031634,Collin County,0.101641635
48085031635,Collin County,0.072847682
48085031636,Collin County,0.02440239
48085031637,Collin County,0.005294597
48085031638,Collin County,0.02793978
48085031639,Collin County,0.052032157
48085031640,Collin County,0.077789782
48085031641,Collin County,0.036059807
48085031642,Collin County,0.027379949
48085031643,Collin County,0.078412623
48085031645,Collin County,0.028213166
48085031646,Collin County,0.033019705
48085031647,Collin County,0.042224811
48085031648,Collin County,0.026875086
48085031649,Collin County,0.036371416
48085031652,Collin County,0.037578288
48085031653,Collin County,0.052716831
48085031654,Collin County,0.04513199
48085031655,Collin County,0.128859613
48085031656,Collin County,0.010439321
48085031657,Collin County,0.28358209
48085031658,Collin County,0.118870267
48085031659,Collin County,0
48085031660,Collin County,0.046728972
48085031661,Collin County,0.025557809
48085031662,Collin County,0.019986965
48085031663,Collin County,0.008648302
48085031664,Collin County,0.027384325
48085031704,Collin County,0.089031912
48085031706,Collin County,0.027788499
48085031708,Collin County,0.149183504
48085031709,Collin County,0.029460288
48085031711,Collin County,0.002805049
48085031712,Collin County,0.075658546
48085031713,Collin County,0.087561954
48085031714,Collin County,0.152941176
48085031715,Collin County,0.038971474
48085031716,Collin County,0.124939467
48085031717,Collin County,0.235270379
48085031718,Collin County,0.081967213
48085031719,Collin County,0.0936853
48085031720,Collin County,0.32075018
48085031802,Collin County,0.043262731
48085031804,Collin County,0.347883598
48085031805,Collin County,0.029847872
48085031806,Collin County,0.117166213
48085031807,Collin County,0.125157233
48085031900,Collin County,0.284943335
48085032003,Collin County,0.168598525
48085032004,Collin County,0.119423733
48085032008,Collin County,0.1108944
48085032009,Collin County,0.005797942
48085032010,Collin County,0.179140833
48085032011,Collin County,0.004602992
48085032012,Collin County,0.074185464
48085032013,Collin County,0.169929756
48113000100,Dallas County,0.083545593
48113000201,Dallas County,0.045325779
48113000202,Dallas County,0.046153846
48113000300,Dallas County,0.076323988
48113000401,Dallas County,0.297541239
48113000404,Dallas County,0.249623305
48113000405,Dallas County,0.475397706
48113000406,Dallas County,0.342281879
48113000500,Dallas County,0.327072539
48113000601,Dallas County,0.255965614
48113000603,Dallas County,0.05810736
48113000605,Dallas County,0.080659945
48113000606,Dallas County,0.055971363
48113000701,Dallas County,0.094344408
48113000702,Dallas County,0.202769535
48113000800,Dallas County,0.295491938
48113000900,Dallas County,0.384282056
48113001001,Dallas County,0.019795658
48113001002,Dallas County,0.080353201
48113001101,Dallas County,0.125550661
48113001102,Dallas County,0.023681859
48113001202,Dallas County,0.15101228
48113001203,Dallas County,0.198961938
48113001204,Dallas County,0.453438631
48113001301,Dallas County,0.17268159
48113001302,Dallas County,0.140194489
48113001400,Dallas County,0.288656885
48113001502,Dallas County,0.230540701
48113001503,Dallas County,0.378517398
48113001504,Dallas County,0.314452312
