year,jurisdiction,type,averageScore,frlScore,notFrlScore,ellScore,notEllScore,whiteScore,blackScore,hispanicScore,asianScore
2013,Alabama,state,257,246,272,‡,258,266,241,249,‡
2013,Alaska,state,261,247,273,214,267,274,253,262,255
2013,Arizona,state,260,251,273,‡,261,272,248,252,277
2013,Arkansas,state,262,253,275,245,263,269,244,256,‡
2013,California,state,262,251,276,220,267,275,247,252,279
2013,Colorado,state,271,256,281,232,274,279,247,257,278
2013,Connecticut,state,274,256,284,222,276,282,256,256,288
2013,Delaware,state,266,255,276,‡,267,274,253,261,289
2013,District of Columbia,city,248,241,271,218,249,297,243,248,‡
2013,Florida,state,266,257,277,226,268,274,254,260,282
2013,Georgia,state,265,255,278,220,265,274,252,260,286
2013,Hawaii,state,260,251,270,224,264,274,258,258,257
2013,Idaho,state,270,261,277,222,272,274,‡,254,‡
2013,Illinois,state,267,252,280,219,269,276,246,257,285
2013,Indiana,state,267,257,276,236,268,271,246,259,‡
2013,Iowa,state,269,257,277,226,270,272,248,256,270
2013,Kansas,state,267,254,278,245,269,272,244,254,272
2013,Kentucky,state,270,258,281,237,270,272,247,263,‡
2013,Louisiana,state,257,250,271,‡,258,269,245,260,‡
2013,Maine,state,269,260,276,‡,270,270,‡,‡,‡
2013,Maryland,state,274,260,283,‡,274,283,259,266,294
2013,Massachusetts,state,277,260,288,224,280,285,255,253,286
2013,Michigan,state,266,254,276,232,267,271,246,257,280
2013,Minnesota,state,271,255,279,231,273,277,248,251,266
2013,Mississippi,state,253,246,269,‡,253,266,239,252,‡
2013,Missouri,state,267,256,277,‡,267,273,245,266,‡
2013,Montana,state,272,261,278,‡,273,276,‡,263,‡
2013,Nebraska,state,269,257,278,‡,270,275,251,254,‡
2013,Nevada,state,262,254,272,217,265,273,248,252,273
2013,New Hampshire,state,274,259,279,‡,275,275,‡,251,285
2013,New Jersey,state,276,261,285,‡,277,283,260,264,293
2013,New Mexico,state,256,250,270,224,261,271,245,252,‡
2013,New York,state,266,253,278,215,270,277,252,252,278
2013,North Carolina,state,265,253,278,232,266,273,251,258,272
2013,North Dakota,state,268,255,273,‡,269,270,255,‡,‡
2013,Ohio,state,269,254,280,251,269,273,247,266,287
2013,Oklahoma,state,262,254,271,229,263,268,245,252,‡
2013,Oregon,state,268,258,281,218,270,274,‡,253,272
2013,Pennsylvania,state,272,258,282,222,273,279,250,249,279
2013,Rhode Island,state,267,252,278,216,269,275,249,249,268
2013,South Carolina,state,261,250,275,242,262,271,247,257,279
2013,South Dakota,state,268,259,273,‡,269,272,‡,259,‡
2013,Tennessee,state,265,256,276,‡,266,270,251,262,‡
2013,Texas,state,264,254,276,227,267,279,253,255,285
2013,Utah,state,270,260,276,220,272,274,‡,256,264
2013,Vermont,state,274,261,282,‡,275,275,257,‡,‡
2013,Virginia,state,268,251,276,242,269,275,249,262,278
2013,Washington,state,272,258,283,222,275,279,258,253,280
2013,West Virginia,state,257,250,267,‡,257,257,255,‡,‡
2013,Wisconsin,state,268,254,276,242,269,273,237,258,272
2013,Wyoming,state,271,262,276,‡,272,273,‡,261,‡
2013,Albuquerque,city,256,248,272,225,261,275,‡,250,‡
2013,Atlanta,city,255,247,286,‡,255,294,249,254,‡
2013,Austin,city,261,246,286,220,268,286,245,251,‡
2013,Baltimore City,city,252,249,265,‡,252,275,249,‡,‡
2013,Boston,city,257,250,286,223,266,281,247,250,278
2013,Charlotte,city,266,252,283,232,269,286,253,259,‡
2013,Chicago,city,253,250,272,215,256,279,244,255,278
2013,Cleveland,city,239,239,‡,226,240,250,235,241,‡
2013,Dallas,city,251,250,264,235,256,‡,244,253,‡
2013,Detroit,city,239,238,249,243,239,‡,239,242,‡
2013,District of Columbia (DCPS),city,245,235,275,‡,247,301,237,247,‡
2013,Fresno,city,245,242,268,210,250,265,236,241,247
2013,Hillsborough County (FL),city,267,256,282,233,270,277,252,263,‡
2013,Houston,city,252,247,272,223,258,284,245,250,283
2013,Jefferson County (KY),city,261,249,280,‡,262,271,243,258,‡
2013,Los Angeles,city,250,246,263,203,257,276,240,245,271
2013,Miami-Dade,city,259,253,278,217,264,278,245,261,‡
2013,Milwaukee,city,242,238,260,239,242,262,232,253,‡
2013,New York City,city,256,252,271,215,263,274,253,249,271
2013,Philadelphia,city,249,245,271,220,251,261,244,243,265
2013,San Diego,city,260,248,277,212,268,281,244,247,266
2011,Alabama,state,258,248,270,‡,259,268,243,246,‡
2011,Alaska,state,261,245,273,215,267,274,252,260,261
2011,Arizona,state,260,249,271,‡,261,272,248,251,269
2011,Arkansas,state,259,250,272,239,260,267,238,253,‡
2011,California,state,255,244,268,220,262,268,243,245,271
2011,Colorado,state,271,254,281,224,274,278,257,254,285
2011,Connecticut,state,275,257,283,224,277,283,255,255,282
2011,Delaware,state,266,256,273,‡,266,273,254,259,285
2011,District of Columbia,city,242,235,259,215,244,292,239,239,‡
2011,Florida,state,262,254,273,225,264,270,248,259,279
2011,Georgia,state,262,253,274,‡,263,272,251,258,277
2011,Hawaii,state,257,246,267,220,260,273,261,246,255
2011,Idaho,state,268,259,275,231,269,271,‡,254,‡
2011,Illinois,state,266,253,277,224,267,274,249,257,280
2011,Indiana,state,265,254,273,235,266,269,247,255,‡
2011,Iowa,state,265,253,272,231,266,267,247,251,266
2011,Kansas,state,267,256,276,242,269,272,248,254,269
2011,Kentucky,state,269,260,278,‡,269,271,248,264,‡
2011,Louisiana,state,255,247,268,‡,255,264,241,249,‡
2011,Maine,state,270,258,278,‡,271,271,248,‡,‡
2011,Maryland,state,271,253,280,‡,272,282,255,262,294
2011,Massachusetts,state,275,257,284,211,277,282,255,248,288
2011,Michigan,state,265,253,274,237,266,269,244,260,279
2011,Minnesota,state,270,255,277,233,272,274,246,257,267
2011,Mississippi,state,254,246,271,‡,254,267,240,‡,‡
2011,Missouri,state,267,255,276,‡,267,271,244,258,‡
2011,Montana,state,273,263,279,‡,273,275,‡,262,‡
2011,Nebraska,state,268,255,276,‡,268,272,250,252,‡
2011,Nevada,state,258,248,267,215,263,269,250,247,264
2011,New Hampshire,state,272,257,276,‡,273,273,‡,253,280
2011,New Jersey,state,275,255,283,‡,276,284,256,257,291
2011,New Mexico,state,256,249,267,218,260,270,248,251,273
2011,New York,state,266,255,277,216,268,276,251,251,276
2011,North Carolina,state,263,252,274,233,264,271,247,256,274
2011,North Dakota,state,269,257,274,‡,269,272,‡,‡,‡
2011,Ohio,state,268,255,278,224,269,274,247,252,‡
2011,Oklahoma,state,260,254,268,‡,261,265,247,251,‡
2011,Oregon,state,264,253,276,215,267,269,248,250,263
2011,Pennsylvania,state,268,252,278,220,269,275,244,250,285
2011,Rhode Island,state,265,251,275,219,267,272,248,248,261
2011,South Carolina,state,260,250,271,251,261,269,246,257,‡
2011,South Dakota,state,269,257,275,‡,270,273,256,256,‡
2011,Tennessee,state,259,250,270,‡,260,265,240,255,‡
2011,Texas,state,261,253,274,225,264,274,252,254,284
2011,Utah,state,267,254,274,222,269,272,‡,247,257
2011,Vermont,state,274,260,281,‡,274,274,‡,‡,‡
2011,Virginia,state,267,250,276,241,269,273,251,259,282
2011,Washington,state,268,255,276,222,270,272,254,250,279
2011,West Virginia,state,256,246,264,‡,256,256,249,‡,‡
2011,Wisconsin,state,267,251,275,240,269,272,240,248,271
2011,Wyoming,state,270,260,275,‡,270,272,‡,258,‡
2011,Albuquerque,city,254,245,267,219,257,271,‡,248,‡
2011,Atlanta,city,253,248,275,‡,253,287,249,‡,‡
2011,Austin,city,261,247,282,221,268,285,246,251,‡
2011,Baltimore City,city,246,243,261,‡,246,267,242,‡,‡
2011,Boston,city,255,249,275,221,261,281,246,245,280
2011,Charlotte,city,265,252,278,228,267,283,253,256,264
2011,Chicago,city,253,249,273,217,255,271,245,255,264
2011,Cleveland,city,240,240,‡,227,241,260,234,241,‡
2011,Dallas,city,248,245,261,223,255,276,244,246,‡
2011,Detroit,city,237,235,241,251,235,‡,235,244,‡
2011,District of Columbia (DCPS),city,237,228,259,204,239,290,231,232,‡
2011,Fresno,city,238,233,269,205,245,257,230,234,241
2011,Hillsborough County (FL),city,264,254,276,235,267,276,247,258,‡
2011,Houston,city,252,248,266,223,257,283,247,249,277
2011,Jefferson County (KY),city,260,251,273,‡,260,269,245,‡,‡
2011,Los Angeles,city,246,241,271,208,255,273,242,241,267
2011,Miami-Dade,city,260,254,274,220,263,275,246,262,‡
2011,Milwaukee,city,238,234,255,227,240,255,232,243,248
2011,New York City,city,254,253,267,215,259,271,248,246,273
2011,Philadelphia,city,247,243,274,222,249,264,244,239,258
2011,San Diego,city,256,245,273,212,264,275,238,245,267
2009,Alabama,state,255,243,267,‡,255,264,238,245,‡
2009,Alaska,state,259,247,267,219,264,269,249,260,254
2009,Arizona,state,258,244,269,204,261,270,249,246,280
2009,Arkansas,state,258,248,269,236,259,266,234,249,‡
2009,California,state,253,241,267,215,261,269,243,241,266
2009,Colorado,state,266,251,273,222,268,274,250,250,274
2009,Connecticut,state,272,250,279,‡,273,279,245,252,290
2009,Delaware,state,265,253,272,‡,266,273,254,256,272
2009,District of Columbia,city,242,237,256,‡,243,‡,239,249,‡
2009,Florida,state,264,255,273,233,265,272,250,260,288
2009,Georgia,state,260,249,272,‡,261,268,249,254,286
