id,name,latitude,longitude,testedNum,gradeLevelNum,literacyRate
57916143,FOREST LANE ACADEMY,32.911442,-96.723484,92,55,0.597826087
57916144,AUDELIA CREEK EL,32.9185595,-96.717573,72,43,0.597222222
57916145,CAROLYN G BUKHAIR EL,32.9375534,-96.7595673,125,64,0.512
57916146,THURGOOD MARSHALL EL,32.902023,-96.7261568,89,47,0.528089888
57919101,SUNNYVALE EL,32.7944832,-96.5567551,89,79,0.887640449
57922101,PINKERTON EL,32.9492226,-96.9975739,73,70,0.95890411
57922103,AUSTIN EL,32.9660416,-96.9784317,96,91,0.947916667
57922105,MOCKINGBIRD EL,32.9635515,-96.9701781,106,100,0.943396226
57922106,WILSON EL,32.9660426,-97.0065475,96,77,0.802083333
57922107,LAKESIDE EL,32.9721794,-96.9584961,91,87,0.956043956
57922108,TOWN CENTER EL,32.9746323,-96.9901428,85,79,0.929411765
57922109,COTTONWOOD CREEK EL,32.9773193,-97.0070001,97,87,0.896907216
57922110,VALLEY RANCH EL,32.9375458,-96.9561768,112,108,0.964285714
57922111,DENTON CREEK EL,32.9829982,-96.9881161,92,84,0.913043478
